"",startCity,lastCity,Company,AirlineCode,StartDrome,ArriveDrome,StartTime,ArriveTime,Mode,AirlineStop,Week
"",BJS,CZX,中国国际航空公司,CA1825,首都国际机场,奔牛机场,13:35,15:15,JET,0,123456日
"",BJS,DAT,中国国际航空公司,CA1119,首都国际机场,大同机场,08:10,09:10,733,0,123456日
"",BJS,DAX,中国国际航空公司,CA4188,首都国际机场,达县机场,17:50,20:10,319,0,135日
"",BJS,DDG,中国国际航空公司,CA1631,首都国际机场,浪头机场,10:30,12:10,733,0,1345日
"",BJS,DLC,中国国际航空公司,CA923,首都国际机场,周水子机场,07:35,08:55,738,0,25
"",BJS,DLC,中国国际航空公司,CA153,首都国际机场,周水子机场,08:30,09:45,733,0,1345日
"",BJS,DLC,中国南方航空(集团)公司,CZ6132,首都国际机场,周水子机场,08:40,09:40,321,0,123456日
"",BJS,DLC,中国国际航空公司,CA953,首都国际机场,周水子机场,08:55,10:20,JET,0,123456日
"",BJS,DLC,中国南方航空(集团)公司,CZ6126,首都国际机场,周水子机场,10:10,11:30,321,0,123456日
"",BJS,DLC,中国国际航空公司,CA1605,首都国际机场,周水子机场,10:30,11:55,JET,0,123456日
"",BJS,DLC,中国国际航空公司,CA1641,首都国际机场,周水子机场,11:50,13:10,JET,0,123456日
"",BJS,DLC,中国南方航空(集团)公司,CZ6140,首都国际机场,周水子机场,12:50,14:00,321,0,123456日
"",BJS,DLC,中国国际航空公司,CA962,首都国际机场,周水子机场,13:35,14:55,738,0,4日
"",BJS,DLC,中国国际航空公司,CA1607,首都国际机场,周水子机场,13:35,14:55,738,0,12356
"",BJS,DLC,中国南方航空(集团)公司,CZ6122,首都国际机场,周水子机场,16:05,17:15,321,0,123456日
"",BJS,DLC,中国南方航空(集团)公司,CZ6134,首都国际机场,周水子机场,18:05,19:10,321,0,123456日
"",BJS,DLC,中国国际航空公司,CA1699,首都国际机场,周水子机场,20:30,21:45,JET,0,123456日
"",BJS,DLC,中国南方航空(集团)公司,CZ6138,首都国际机场,周水子机场,20:40,22:00,321,0,123456日
"",BJS,DLC,大新华航空有限公司,CN7183,首都国际机场,周水子机场,22:00,23:10,738,0,123456日
"",BJS,DQA,中国南方航空(集团)公司,CZ6214,首都国际机场,大庆萨尔图机场,10:40,12:30,319,0,123456日
